                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          2.0000000000000000E+001          1.3999999999999999E+000          2.2396569940516333E+003                       "gfortran"                         "10.2.0"           "x86_64-linux-20.12.1"                       "20210322" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                         ce_phase 
                               1          5.5901699437494777E+001          2.2396574548595981E+003          2.0000004821157172E+003          0.0000000000000000E+000          2.9556359239016037E+000          4.2223365693676378E+001          5.9148308129719176E+000          0.0000000000000000E+000          1.2111129464843116E+003          3.7237125226845865E+002          1.9999997798482180E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.4047028053511319E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.4047028053511319E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354561279825126E+054         -6.6760024154382974E+036          0.0000000000000000E+000          0.0000000000000000E+000         -6.6760024154382974E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               2          1.0062305898749059E+002          2.2396577700755074E+003          2.0000006228586565E+003          0.0000000000000000E+000          2.9556359239016055E+000          4.2223362514364617E+001          5.9436995390035632E+000          0.0000000000000000E+000          1.2111130205147106E+003          3.7237128680154717E+002          1.9999996292533339E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.4727047790549150E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.4727047790549150E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354561199262513E+054         -5.7084023014163844E+036          0.0000000000000000E+000          0.0000000000000000E+000         -5.7084023014163844E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               3          1.3640014662748726E+002          2.2396580017175215E+003          2.0000007262861013E+003          0.0000000000000000E+000          2.9556359239016055E+000          4.2223360177991282E+001          5.9648507197647191E+000          0.0000000000000000E+000          1.2111130749172617E+003          3.7237131217880017E+002          1.9999995185860271E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.5095856437398378E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.5095856437398378E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354561140059650E+054         -5.2436506862081616E+036          0.0000000000000000E+000          0.0000000000000000E+000         -5.2436506862081616E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               4          1.7933265179548326E+002          2.2396582646632332E+003          2.0000008436905439E+003          0.0000000000000000E+000          2.9556359239016050E+000          4.2223357525884957E+001          5.9871875734769855E+000          0.0000000000000000E+000          1.2111131366716745E+003          3.7237134098548972E+002          1.9999993929633547E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.5337182023848177E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.5337182023848177E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354561072856220E+054         -4.9602234950470510E+036          0.0000000000000000E+000          0.0000000000000000E+000         -4.9602234950470510E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               5          2.3085165799707846E+002          2.2396585632722649E+003          2.0000009770185391E+003          0.0000000000000000E+000          2.9556359239016068E+000          4.2223354514074096E+001          6.0105177279555342E+000          0.0000000000000000E+000          1.2111132068018312E+003          3.7237137369922834E+002          1.9999992503025073E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.5576626780238065E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.5576626780238065E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560996537993E+054         -4.6941485319641934E+036          0.0000000000000000E+000          0.0000000000000000E+000         -4.6941485319641934E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               6          2.9267446543899268E+002          2.2396589024909463E+003          2.0000011284786051E+003          0.0000000000000000E+000          2.9556359239016081E+000          4.2223351092669574E+001          6.0347140141416729E+000          0.0000000000000000E+000          1.2111132864694059E+003          3.7237141086190474E+002          1.9999990882403832E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.5814671959186608E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.5814671959186608E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560909840794E+054         -4.4437782121651464E+036          0.0000000000000000E+000          0.0000000000000000E+000         -4.4437782121651464E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               7          3.6686183436928980E+002          2.2396592880157727E+003          2.0000013006142040E+003          0.0000000000000000E+000          2.9556359239016081E+000          4.2223347204216083E+001          6.0596761046308449E+000          0.0000000000000000E+000          1.2111133770122517E+003          3.7237145309759018E+002          1.9999989040554894E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.6050759605659790E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6050759605659790E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560811308720E+054         -4.2086584791162282E+036          0.0000000000000000E+000          0.0000000000000000E+000         -4.2086584791162282E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               8          4.5588667708564628E+002          2.2396597264678239E+003          2.0000014963816209E+003          0.0000000000000000E+000          2.9556359239016112E+000          4.2223342781932956E+001          6.0853147145534123E+000          0.0000000000000000E+000          1.2111134799853662E+003          3.7237150113164773E+002          1.9999986945846146E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.6283875684312052E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6283875684312052E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560699249565E+054         -3.9887072498666293E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.9887072498666293E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                               9          5.6271648834527412E+002          2.2396602255988410E+003          2.0000017192419753E+003          0.0000000000000000E+000          2.9556359239016143E+000          4.2223337747635640E+001          6.1115944023704829E+000          0.0000000000000000E+000          1.2111135972092882E+003          3.7237155581330865E+002          1.9999984561243814E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.6512764971379044E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6512764971379044E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560571682150E+054         -3.7839320646111376E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.7839320646111376E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
