                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210322"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                             he_core_mass                              c_core_mass                              o_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                   total_angular_momentum                              num_retries                                num_iters 
                                       1                                     3377                  5.5901699437494777E+001                  1.7474250108400471E+000                  1.9999997798482180E+001                  3.4599535858219298E+001                 -7.4047028053511319E+000                  9.2705185442088194E+000                  5.6890090795048032E+000                 -2.8538192127456600E+001                 -9.8999999999999986E+001                  5.6890090795048032E+000                  1.2185670672789970E+000                  5.6889943784109693E+000                 -2.8538192127456600E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5383596144383800E+000                  4.6520167893054047E+000                  7.7194232664043960E-001                  4.1952129218808798E+000                  2.9983768208515317E-006                  1.6383482679496378E+001                  6.3948771650871183E-001                  7.5423679889291613E+000                  7.0297178770160851E-001                  2.8000031044354373E-001                  2.7623084257755617E-003                  7.9732559994513813E-003                  2.9298508566681630E-003                  7.9734484983769206E-003                  1.4059686158407432E+001                  5.6000028197806540E+000                  0.0000000000000000E+000                                        0                                        5 
                                       2                                     3377                  1.0062305898749061E+002                  1.6505149978319908E+000                  1.9999996292533339E+001                  3.4599535825518025E+001                 -7.4727047790549150E+000                  1.0878374755909075E+001                  5.5893129372533483E+000                 -2.8847900564766199E+001                 -9.8999999999999986E+001                  5.5893129372533474E+000                  1.1925158234675148E+000                  5.5892955193487923E+000                 -2.8847900564766199E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5342180627631352E+000                  4.6396796237455122E+000                  7.7405684721098134E-001                  4.1909838480385284E+000                  3.1553637892374667E-006                  1.6361436428430395E+001                  6.2264052357300892E-001                  7.5371911575307617E+000                  7.0295901077349920E-001                  2.8000046512242427E-001                  2.6865174265434714E-003                  7.9731695107989591E-003                  2.9298508566681634E-003                  7.9734484983769224E-003                  1.4059486533174699E+001                  5.6000047585201758E+000                  0.0000000000000000E+000                                        0                                        5 
                                       3                                     3376                  1.3640014662748729E+002                  1.5536049848239344E+000                  1.9999995185860271E+001                  3.4599535801486923E+001                 -7.5095856437398378E+000                  1.1504194397957219E+001                  5.5213105865899239E+000                 -2.9058905862708194E+001                 -9.8999999999999986E+001                  5.5213105865899239E+000                  1.1744910013257022E+000                  5.5212910443429708E+000                 -2.9058905862708194E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5314640470863070E+000                  4.6317490250283901E+000                  7.7559957920607703E-001                  4.1878983600172317E+000                  3.4402005634591627E-006                  1.6346601595799743E+001                  6.1133752746315739E-001                  7.5336802752990737E+000                  7.0295026080560175E-001                  2.8000057656143651E-001                  2.6346475257400521E-003                  7.9731104950070443E-003                  2.9298508566681651E-003                  7.9734484983769241E-003                  1.4059349936936661E+001                  5.6000061476861580E+000                  0.0000000000000000E+000                                        0                                        4 
                                       4                                     3376                  1.7933265179548329E+002                  1.6327862308715593E+000                  1.9999993929633547E+001                  3.4599535774208299E+001                 -7.5337182023848168E+000                  1.1838774947674883E+001                  5.4519587241514325E+000                 -2.9272407194392862E+001                 -9.8999999999999986E+001                  5.4519587241514325E+000                  1.1564380225467537E+000                  5.4519367316511662E+000                 -2.9272407194392862E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5287100542961536E+000                  4.6239796243242184E+000                  7.7722286443429733E-001                  4.1846517622821668E+000                  2.9996056895284052E-006                  1.6331725638454888E+001                  6.0002056138750082E-001                  7.5301408775805418E+000                  7.0294088990298031E-001                  2.8000070202069555E-001                  2.5791340385996355E-003                  7.9730473999741498E-003                  2.9298508566681604E-003                  7.9734484983769189E-003                  1.4059210138966986E+001                  5.6000076298466519E+000                  0.0000000000000000E+000                                        0                                        4 
                                       5                                     3376                  2.3085165799707846E+002                  1.7119674769191842E+000                  1.9999992503025073E+001                  3.4599535743229879E+001                 -7.5576626780238065E+000                  1.2092923656495753E+001                  5.3820207428513847E+000                 -2.9487132227728829E+001                 -9.8999999999999986E+001                  5.3820207428513847E+000                  1.1382865530918855E+000                  5.3819959650646636E+000                 -2.9487132227728829E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5259575708097515E+000                  4.6163477263840926E+000                  7.7891188243703913E-001                  4.1812736952982634E+000                  2.6101173364538284E-006                  1.6316888238515435E+001                  5.8874370706609702E-001                  7.5265939875272254E+000                  7.0293135188328615E-001                  2.8000083683883931E-001                  2.5226740822365981E-003                  7.9729832729360378E-003                  2.9298508566681643E-003                  7.9734484983769258E-003                  1.4059067246088908E+001                  5.6000092064956464E+000                  0.0000000000000000E+000                                        0                                        3 
                                       6                                     3376                  2.9267446543899268E+002                  1.7911487229668088E+000                  1.9999990882403832E+001                  3.4599535708038523E+001                 -7.5814671959186608E+000                  1.2291579375099587E+001                  5.3118545036971359E+000                 -2.9701726571815843E+001                 -9.8999999999999986E+001                  5.3118545036971359E+000                  1.1201993329097186E+000                  5.3118265690552784E+000                 -2.9701726571815843E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5232152692622529E+000                  4.6088681426215157E+000                  7.8065669365074930E-001                  4.1777840376794853E+000                  2.2676087595767369E-006                  1.6302176036912506E+001                  5.7756921526710070E-001                  7.5230614769558724E+000                  7.0292165102815085E-001                  2.8000098154646863E-001                  2.4652966221768166E-003                  7.9729180878873943E-003                  2.9298508566681651E-003                  7.9734484983769362E-003                  1.4058921254615361E+001                  5.6000108804797142E+000                  0.0000000000000000E+000                                        0                                        3 
                                       7                                     3376                  3.6686183436928980E+002                  1.8703299690144337E+000                  1.9999989040554894E+001                  3.4599535668043259E+001                 -7.6050759605659790E+000                  1.2438301875728010E+001                  5.2417645842826346E+000                 -2.9914703532451345E+001                 -9.8999999999999986E+001                  5.2417645842826346E+000                  1.1023924318898992E+000                  5.2417330757692477E+000                 -2.9914703532451345E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5204948271424765E+000                  4.6015718095197462E+000                  7.8244941133941570E-001                  4.1741985623068905E+000                  1.9675221773536753E-006                  1.6287685162036837E+001                  5.6656907472308915E-001                  7.5195669207624887E+000                  7.0291171124233320E-001                  2.8000113788610614E-001                  2.4065552676482750E-003                  7.9728512456257953E-003                  2.9298508566681643E-003                  7.9734484983769362E-003                  1.4058772058279011E+001                  5.6000126573171940E+000                  0.0000000000000000E+000                                        0                                        3 
                                       8                                     3376                  4.5588667708564628E+002                  1.9495112150620586E+000                  1.9999986945846146E+001                  3.4599535622557212E+001                 -7.6283875684312052E+000                  1.2530972311767021E+001                  5.1719600506543433E+000                 -3.0124344880916205E+001                 -9.8999999999999986E+001                  5.1719600506543433E+000                  1.0851690412719248E+000                  5.1719244866148530E+000                 -3.0124344880916205E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5178094320353388E+000                  4.5944974935690333E+000                  7.8428304357833489E-001                  4.1705312523430020E+000                  1.7053859043770755E-006                  1.6273527981105701E+001                  5.5583012805546916E-001                  7.5161372327936267E+000                  7.0290131953243007E-001                  2.8000130989949107E-001                  2.3451954156364940E-003                  7.9727811627122603E-003                  2.9298508566681651E-003                  7.9734484983769362E-003                  1.4058619472581052E+001                  5.6000145475589296E+000                  0.0000000000000000E+000                                        0                                        3 
                                       9                                     3376                  5.6271648834527400E+002                  2.0286924611096833E+000                  1.9999984561243814E+001                  3.4599535570776190E+001                 -7.6512764971379044E+000                  1.2564213614287945E+001                  5.1028976992334281E+000                 -3.0328823136601056E+001                 -9.8999999999999986E+001                  5.1028976992334281E+000                  1.0687503421116256E+000                  5.1028575518701578E+000                 -3.0328823136601056E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5151711327717017E+000                  4.5876872582622807E+000                  7.8615452445223344E-001                  4.1667882388141866E+000                  1.4772994373313493E-006                  1.6259825519715658E+001                  5.4544822703153317E-001                  7.5128006796972535E+000                  7.0289048861333769E-001                  2.8000149909610689E-001                  2.2813025381817429E-003                  7.9727077518652531E-003                  2.9298508566681643E-003                  7.9734484983769328E-003                  1.4058463139044637E+001                  5.6000165657542098E+000                  0.0000000000000000E+000                                        0                                        3 
                                      10                                     3376                  6.9091226185682740E+002                  2.1078737071573079E+000                  1.9999981843155751E+001                  3.4599535511753608E+001                 -7.6736101842663995E+000                  1.2531110766388823E+001                  5.0349258669645032E+000                 -3.0526070013096902E+001                 -9.8999999999999986E+001                  5.0349258669645023E+000                  1.0534640061126159E+000                  5.0348805412025968E+000                 -3.0526070013096902E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5125952041789432E+000                  4.5812145344900035E+000                  7.8807001975161195E-001                  4.1629571891928476E+000                  1.2799164581061777E-006                  1.6246716952063412E+001                  5.3553576869059361E-001                  7.5095890914940000E+000                  7.0287908102255614E-001                  2.8000170967951515E-001                  2.2140765351277352E-003                  7.9726298339177874E-003                  2.9298508566681669E-003                  7.9734484983769362E-003                  1.4058302547869452E+001                  5.6000187337029965E+000                  0.0000000000000000E+000                                        0                                        3 
                                      11                                     3376                  8.4474719007069143E+002                  2.1870549532049330E+000                  1.9999978739456203E+001                  3.4599535444357564E+001                 -7.6951752805337987E+000                  1.2424589963167397E+001                  4.9687338336265379E+000                 -3.0713942830338382E+001                 -1.0058928593519678E+001                  4.9687338336265388E+000                  1.0395423867113651E+000                  4.9686827103799729E+000                 -3.0713942830338382E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5101080926950745E+000                  4.5752409357440111E+000                  7.9005744334635319E-001                  4.1589822746073191E+000                  1.1107560587178601E-006                  1.6234349275156752E+001                  5.2621369898484049E-001                  7.5065352278756743E+000                  7.0286725629351676E-001                  2.8000194220844160E-001                  2.1444787214686505E-003                  7.9725481988297334E-003                  2.9298508566681647E-003                  7.9734484983769345E-003                  1.4058136891099165E+001                  5.6000210791391716E+000                  0.0000000000000000E+000                                        0                                        3 
